Mechanical Engineering Degree Progress Check Sheet 2014,,,,,,
Vm450,Design and Manufacture III,"Vm350, Vm360, Vm395",⎯,4,,
Vm495,Laboratory II,Vm395,"Vm350,Vm360",4,,
,,,,,,
Advanced Mathematics (3 credits)3,,,,,,
Nbr,Course Name,Prerequisite,Corequisite,Hrs,Grade,Note:
,,,,,,
,,,,,,
,,,,,,
Flexible Technical Elective (11 credits)4,,,,,,
"(At least 6 credits from ME, at least 3 credits from 400 or higher ME)",,,,,,
Nbr,Course Name,Prerequisite,Corequisite,Hrs,Grade,Note:
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
General Elective (9 credits)5,,,,,,
Nbr,Course Name,Prerequisite,Corequisite,Hrs,Grade,Note:
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Required by MoE and SJTU (22 credits),,,,,,
Nbr,Course Name,Prerequisite,Corequisite,Hrs,Grade,Note:
Vy100,Academic Writing I,⎯,⎯,4,,
Vy200,Academic Writing II,Vy100,⎯,4,,
TH009,Circumstance and Policy 16,⎯,⎯,0,,
TH009,Circumstance and Policy 26,⎯,⎯,0,,
TH009,Circumstance and Policy 36,⎯,⎯,0,,
TH009,Circumstance and Policy 46,⎯,⎯,0,,
TH021,Modern Chinese History6,⎯,⎯,2,,
TH000,Morals and Ethics and Law6,⎯,⎯,2,,
TH004,Military Theory6,⎯,⎯,1,,
TH007,Marxism Basic Theory6,⎯,⎯,2,,
TH012,Mao Zedong's Thoughts6,⎯,⎯,3,,
PE001,Physical Education I6,⎯,⎯,1,,
PE002,Physical Education II6,⎯,⎯,1,,
PE003,Physical Education III6,⎯,⎯,1,,
PE004,Physical Education IV6,⎯,⎯,1,,
XP000,General Education Practice6,⎯,⎯,0,,
,,,,,,
"1. This category requires:
    •  2 credits of Vg496 Professional Ethics, and 
    • 14 credits of courses in humanities, social sciences, professional development, and natural sciences. 
       At least 1 course (3 or 4 credits) in humanities and at least 1 course (3 or 4 credits) in social sciences must be
       completed. 
    Courses that may satisfy this category of requirement:
    - All VR, VX, VW, VF, and VB courses are acceptable;
    - All VZ courses are acceptable only for international students;
    - All VY courses except VY100 and VY200 are acceptable;
    - UM courses that can be used to satisfy the Intellectual Breadth requirements at CoE are acceptable;
    - SJTU courses taught in English are acceptable with approval of this committee.",,,,,,
2. International students can use Vm010 instead. ,,,,,,
"3. Fulfilled by taking VV454, VE401,VE301,VV556, VV557 or another mathematics course approved by the ME 
    Program Advisor.Any credits in excess of 3 may be applied to the Flexible Technical Elective (non-ME) or General
    Elective categories.",,,,,,
"4. a. DD program participants: fulfilled by taking courses at 300-level or higher in ME, or other engineering or sciences
         fields approved by the ME Program Advisor, excluding Ve300 and Ve496.
     b. Others: fulfilled by taking
         • Two courses (totaling at least 6 credits) must be 300-level or higher in ME. One of the two courses (at least 3 credits)
            must be 400-level or higher.
         • Any 300-level or higher courses in ME or in other engineering, biology, chemistry, mathematics, and physics fields,
           excluding Ve300 and Ve496. 
      Up to 3 credits of courses taken from other engineering or science departments of SJTU may be counted in this
      category but must be 300-leverl or higher. These courses must be approved by the ME Program Advisor. 
      Any credits in excess of 11 may be applied to the General Elective category.",,,,,,
"5. Fulfilled by taking any course, subject to the upper limit of 4 credits of research work such as PRP, IAP, and 
    independent study.  ",,,,,,
6. International students are exempted from these requirements.,,,,,,
"7. For DD program participants: To obtain both Bachelor's degrees, a student must complete the requirements of
    each of the degree programs. For the second degree, a student must complete at least a minimum of 14 credit
    hours in pertinent technical subjects in addition to the credits required by the first degree. The JI keeps a course list
    towards the 14 extra credits.",,,,,,
8.The student must accumulate a final GPA of 2.0 or more for all credit hours taken while enrolled in SJTU. ,,,,,,
